,magnitude,depth
0,2.9,0.0
1,3.1,13.4
2,2.6,5.4
3,3.3,24.4
4,5.1,10.0
5,5.2,9.3
6,4.7,10.0
7,2.5,5.0
8,5.7,7.09
9,5.0,10.0
10,5.0,8.28
11,4.9,63.0
12,2.8,12.0
13,5.6,129.13
14,4.0,54.54
15,2.6,5.0
16,2.7,0.0
17,2.5,36.1
18,4.7,10.0
19,2.9,10.0
20,5.0,10.0
21,6.4,29.0
22,2.99,109.0
23,5.1,48.12
24,4.3,10.0
25,2.7,14.2
26,4.1,33.68
27,4.3,10.0
28,4.7,51.42
29,2.5,18.7
30,2.64,10.0
31,5.6,10.0
32,2.8,73.8
33,2.99,99.0
34,3.17,94.0
35,3.42,83.0
36,4.7,10.0
37,5.3,10.0
38,2.45,23.0
39,3.3,91.3
40,4.5,46.57
41,3.27,112.0
42,3.3,38.8
43,2.89,87.0
44,5.7,17.86
45,4.4,57.15
46,3.0,10.0
47,2.96,70.0
48,4.8,10.0
49,2.7,12.7
50,4.9,35.0
51,3.37,17.07
52,2.93,122.0
53,4.8,42.11
54,3.15,78.0
55,4.5,506.62
56,4.6,62.46
57,2.66,40.0
58,4.2,65.28
59,4.1,5.0
60,4.4,10.69
61,5.4,22.68
62,4.4,120.05
63,3.4,1.9
64,4.2,35.0
65,3.5,20.01
66,4.8,39.81
67,5.1,37.11
68,4.8,35.0
69,2.9,1.8
70,2.8,149.1
71,2.55,10.24
72,4.0,406.74
73,2.51,7.46
74,3.8,43.27
75,2.46,59.0
76,4.6,35.0
77,2.72,84.0
78,2.87,38.0
79,2.9,8.4
80,2.6,11.2
81,2.8,0.0
82,4.5,10.0
83,2.6,2.24
84,2.75,8.55
85,4.4,10.0
86,4.5,10.0
87,2.9,0.0
88,2.9,5.0
89,2.5,13.2
90,4.8,37.17
91,4.49,0.76
92,3.32,6.01
93,4.4,65.0
94,4.2,10.0
95,4.4,73.44
96,4.6,10.0
97,3.8,5.0
98,4.8,10.0
99,4.5,38.92
100,5.9,10.0
101,2.7,5.0
102,2.61,15.59
103,4.4,44.05
104,4.8,103.59
105,4.0,66.25
106,2.71,10.0
107,2.52,-0.45
108,3.44,33.0
109,3.43,72.0
110,2.97,61.0
111,4.6,10.0
112,2.89,7.0
113,2.8,5.0
114,4.6,10.0
115,2.5,5.0
116,2.8,5.7
117,2.6,0.1
118,3.38,60.0
119,2.9,58.0
120,2.59,5.74
121,4.4,231.68
122,4.6,79.92
123,4.2,76.64
124,2.98,6.53
125,2.54,74.0
126,2.82,23.4
127,4.9,66.28
128,3.09,3.43
129,4.2,16.58
130,2.9,0.5
131,4.9,10.0
132,5.4,10.0
133,2.8,20.91
134,2.8,0.0
135,3.4,19.76
136,2.5,14.0
137,2.7,2.2
138,4.3,152.27
139,2.58,48.0
140,4.5,16.49
141,3.8,89.43
142,2.48,12.66
143,2.73,9.21
144,2.8,35.7
145,4.5,10.0
146,2.85,6.09
147,4.3,35.0
148,4.2,208.06
149,4.4,34.91
150,2.5,184.9
151,2.71,98.0
152,3.5,10.0
153,3.2,38.0
154,2.6,0.0
155,2.87,10.24
156,5.5,10.9
157,2.7,5.42
158,5.6,14.75
159,2.5,13.49
160,4.9,121.54
161,2.99,57.0
162,5.3,10.0
163,2.7,15.3
164,2.58,67.0
165,4.1,10.0
166,4.8,10.0
167,4.3,10.0
168,2.8,53.2
169,2.8,5.0
170,3.06,12.0
171,2.84,24.65
172,4.3,10.0
173,2.94,24.0
174,2.7,19.89
